0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24286.00,19209.00,18969.00,19124.00,19257.00,19243.00,19268.00,19273.00,19160.00,19284.00
58157.00,45144.00,45442.00,44917.00,45551.00,44476.00,45524.00,45288.00,45053.00,45363.00
39.00,40.00,39.00,38.00,41.00,42.00,41.00,43.00,39.00,43.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23219.00,19347.00,19618.00,19307.00,19449.00,19427.00,19334.00,19410.00,19313.00,19616.00
45863.00,46451.00,45451.00,45429.00,45128.00,44634.00,45143.00,45361.00,45766.00,44478.00
39.00,39.00,39.00,41.00,39.00,39.00,40.00,39.00,39.00,40.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19461.00,19578.00,19535.00,19263.00,19313.00,19260.00,19581.00,19178.00,19420.00,19508.00
46478.00,45358.00,46153.00,45787.00,45206.00,45723.00,45720.00,30602.00,45127.00,45641.00
25.00,26.00,25.00,25.00,24.00,25.00,26.00,25.00,25.00,24.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19288.00,19199.00,19484.00,19505.00,19263.00,19114.00,19100.00,19070.00,19129.00,19233.00
30664.00,29861.00,30776.00,30293.00,30700.00,30572.00,30283.00,30863.00,31051.00,14545.00
11.00,13.00,12.00,13.00,12.00,11.00,12.00,13.00,12.00,11.00
