0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22968.00,22036.00,23937.00,24732.00,24406.00,22815.00,24058.00,24022.00,26099.00,23474.00
56547.00,53314.00,55164.00,60294.00,59288.00,54545.00,58595.00,56515.00,61437.00,57082.00
42.00,37.00,41.00,40.00,38.00,40.00,41.00,39.00,42.00,41.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25605.00,22515.00,23311.00,24867.00,24672.00,23055.00,22922.00,23716.00,26365.00,25926.00
65641.00,55410.00,59642.00,53373.00,55029.00,57092.00,52643.00,56315.00,61219.00,60219.00
40.00,41.00,40.00,39.00,40.00,42.00,39.00,40.00,39.00,41.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26637.00,22562.00,23721.00,23066.00,22749.00,22018.00,23654.00,23004.00,24445.00,24608.00
60575.00,56460.00,57321.00,62078.00,57656.00,52670.00,53866.00,36074.00,57852.00,60599.00
25.00,25.00,25.00,27.00,25.00,25.00,25.00,26.00,25.00,26.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23263.00,24620.00,23943.00,24426.00,23284.00,22218.00,24740.00,23688.00,23172.00,24809.00
41533.00,37554.00,18902.00,39794.00,38746.00,36131.00,40610.00,38098.00,37874.00,39809.00
12.00,13.00,12.00,14.00,13.00,13.00,13.00,14.00,13.00,12.00
